;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
2928;Ipswich;Everton;2;0;H;0;0;D;12;8;6;2;11;14;3;2;1;2;0;1
2929;Leicester;Sunderland;2;0;H;1;0;H;11;9;7;3;13;16;6;5;0;4;0;1
2933;Man United;Arsenal;6;1;H;5;1;H;16;6;9;2;10;6;3;3;0;0;0;0
2934;Arsenal;West Ham;3;0;H;3;0;H;16;4;6;2;19;12;5;6;2;3;0;0
2936;Derby;Tottenham;2;1;H;2;0;H;8;13;4;7;20;12;6;7;2;3;0;0
2939;Leicester;Liverpool;2;0;H;0;0;D;9;8;7;3;9;7;4;7;1;1;0;0
2942;Ipswich;Bradford;3;1;H;0;1;A;21;7;8;5;13;14;7;2;0;4;0;0
2945;Aston Villa;Ipswich;2;1;H;0;1;A;9;8;5;3;15;11;6;2;1;1;0;0
2949;Man United;Leicester;2;0;H;0;0;D;19;5;8;2;11;13;14;2;1;1;0;0
2951;Southampton;Everton;1;0;H;0;0;D;17;5;5;1;13;18;6;6;1;1;0;0
2952;Tottenham;Coventry;3;0;H;2;0;H;12;11;4;5;13;10;5;8;0;1;0;0
2956;Arsenal;Tottenham;2;0;H;0;0;D;25;4;19;3;5;6;12;2;0;1;0;0
2958;Chelsea;Middlesbrough;2;1;H;1;0;H;17;7;5;3;19;10;4;3;2;1;0;0
2959;Coventry;Derby;2;0;H;1;0;H;12;14;7;8;12;16;9;4;0;1;1;0
2960;Liverpool;Man United;2;0;H;2;0;H;15;9;6;3;8;8;6;4;1;1;1;0
2964;Charlton;Leicester;2;0;H;1;0;H;16;5;9;1;12;9;6;2;2;2;0;0
2966;Aston Villa;Leicester;2;1;H;1;1;D;9;6;5;2;11;12;10;3;2;2;0;0
2969;Leeds;Southampton;2;0;H;1;0;H;15;6;7;2;10;11;10;1;0;0;0;0
2971;Everton;Man City;3;1;H;2;1;H;11;13;7;5;17;18;8;8;0;3;1;1
2974;Man United;Charlton;2;1;H;1;0;H;23;3;8;2;8;9;12;4;1;1;0;0
2975;Tottenham;Bradford;2;1;H;1;1;D;17;10;13;5;13;9;5;7;1;1;0;0
2977;Bradford;Charlton;2;0;H;0;0;D;4;3;8;8;13;21;3;7;1;3;0;0
2980;Aston Villa;Everton;2;1;H;1;1;D;8;5;5;3;13;14;5;3;0;3;0;0
2981;Chelsea;Southampton;1;0;H;1;0;H;14;9;8;5;11;19;7;6;3;3;0;0
2982;Ipswich;Newcastle;1;0;H;0;0;D;14;6;5;2;6;13;9;3;0;1;0;1
2984;Man United;Coventry;4;2;H;2;2;D;28;9;13;4;9;18;9;2;1;4;0;0
2986;West Ham;Derby;3;1;H;3;0;H;18;6;10;3;10;18;3;5;0;2;0;0
2987;Coventry;Sunderland;1;0;H;1;0;H;14;6;9;3;15;21;6;3;3;0;0;0
2988;Derby;Leicester;2;0;H;1;0;H;10;7;6;4;17;16;5;6;0;0;0;0
2991;Newcastle;West Ham;2;1;H;1;0;H;20;13;14;6;19;9;7;5;0;0;0;0
2994;Arsenal;Everton;4;1;H;1;1;D;10;4;8;2;7;13;10;0;0;2;0;1
2996;Bradford;Derby;2;0;H;1;0;H;15;12;9;3;14;13;3;8;0;2;0;1
2998;Ipswich;Coventry;2;0;H;1;0;H;13;6;5;2;22;23;2;3;1;4;0;0
3003;Liverpool;Tottenham;3;1;H;1;1;D;14;7;8;5;10;13;6;4;1;1;0;0
3006;Everton;Bradford;2;1;H;0;1;A;18;7;9;4;15;15;5;2;1;2;0;0
3007;Leeds;Chelsea;2;0;H;0;0;D;16;7;9;5;22;17;7;2;2;5;0;0
3008;Man City;West Ham;1;0;H;1;0;H;16;12;9;7;19;12;10;10;3;5;0;0
3010;Newcastle;Leicester;1;0;H;0;0;D;20;4;6;3;15;14;12;0;1;1;0;0
3013;Charlton;Ipswich;2;1;H;1;1;D;10;17;7;6;17;11;2;13;0;1;0;0
3016;Arsenal;Leeds;2;1;H;1;0;H;7;4;4;3;21;18;11;2;4;3;0;0
3017;Aston Villa;Coventry;3;2;H;0;2;A;6;6;4;3;12;23;6;2;2;5;0;0
3019;Chelsea;Everton;2;1;H;2;1;H;13;9;5;3;19;22;8;6;1;1;0;0
3020;Leicester;Tottenham;4;2;H;1;0;H;19;9;9;4;11;14;6;2;3;2;0;0
3021;Liverpool;Newcastle;3;0;H;1;0;H;12;6;5;3;11;10;2;3;0;2;0;0
3023;Sunderland;Charlton;3;2;H;2;1;H;17;17;11;7;17;7;8;5;1;0;0;0
3024;West Ham;Southampton;3;0;H;0;0;D;16;12;12;3;18;18;5;1;2;2;0;0
3025;Ipswich;Man City;2;1;H;0;0;D;15;11;7;7;8;19;9;2;0;0;0;0
3027;Leeds;Bradford;6;1;H;5;1;H;18;13;9;7;20;13;9;7;1;0;0;0
3028;Southampton;Man United;2;1;H;2;0;H;14;9;3;6;13;18;4;4;1;1;0;0
3034;Leeds;Leicester;3;1;H;1;1;D;24;8;11;5;14;17;12;5;3;4;0;0
3036;Middlesbrough;West Ham;2;1;H;2;1;H;19;11;7;5;13;15;5;6;0;0;0;0
3037;Newcastle;Aston Villa;3;0;H;2;0;H;9;5;5;1;10;14;5;1;0;5;1;1
3038;Southampton;Arsenal;3;2;H;0;1;A;11;8;7;5;17;10;7;5;1;2;0;0
3039;Tottenham;Man United;3;1;H;1;1;D;9;15;3;6;13;15;3;6;0;2;0;0
